"FA" "MA" "Math" "SCIE" "READ"
"148042" 1 1 616.146 628.256 560.98
"148043" 1 1 657.042 688.028 590.002
"148044" 1 NA 624.562 620.048 569.72
"148045" 1 1 632.74 620.236 609.602
"148046" 1 1 628.454 651.846 636.214
"148047" 1 1 601.736 593.194 522.102
"148048" 1 1 616.38 601.492 632.086
"148049" 1 1 645.124 667.046 664.576
"148050" 1 0 722.942 733.534 611.966
"148051" 0 0 637.492 624.896 609.842
"148052" 1 1 625.26 654.548 590.32
"148053" 1 1 638.736 631.33 591.044
"148054" 1 1 589.898 609.976 627.478
"148055" 1 1 662.572 585.174 588.958
"148056" 1 0 595.504 628.442 591.97
"148057" 1 1 667.714 687.19 648.37
"148058" 1 0 639.986 641.496 610.794
"148059" 1 1 635.776 659.118 588.556
"148060" 1 1 624.484 607.086 564.108
"148061" 1 1 560.218 546.012 526.908
"148062" 1 1 636.79 629.748 585.134
"148063" 0 0 667.558 665.088 639.792
"148064" 1 0 574.084 573.796 482.896
"148065" 1 1 645.748 653.246 641.144
"148066" 1 0 705.102 645.504 631.37
"148067" 0 0 600.88 568.668 557.648
"148068" NA NA 629.626 526.708 563.928
"148069" NA NA 617.862 587.972 617.072
"148070" NA NA 648.318 597.202 614.53
"148071" 1 1 630.326 535.752 558.842
"148072" 1 1 611.086 613.52 589.11
"148073" 1 0 667.09 576.128 634.788
"148074" 1 1 660.936 615.76 666.722
"148075" 0 0 650.576 563.354 634.15
"148076" NA NA 586.158 508.146 463.98
"148077" NA NA 603.374 533.98 575.444
"148078" NA NA 670.984 613.146 589.52
"148079" NA NA 553.988 488.382 511.02
"148080" 1 1 724.418 667.7 654.134
"148081" 1 0 629.78 608.86 602.296
"148082" 1 1 630.322 552.816 530.916
"148083" NA NA 513.72 460.594 498.782
"148084" 1 1 677.372 652.126 671.168
"148085" 1 0 761.576 714.042 643.072
"148086" 1 0 653.536 607.832 635.98
"148087" 1 1 649.486 574.542 543.022
"148088" 1 0 701.674 635.9 638.502
"148089" 1 0 542.616 553.096 467.986
"148090" 1 1 666.778 672.452 597.136
"148091" 0 0 575.954 546.848 584.028
"148092" 1 1 590.52 565.686 564.748
"148093" 1 1 600.414 612.776 640.112
"148094" 1 1 705.026 723.088 654.408
"148095" 1 1 582.342 564.286 587.6
"148096" 1 1 588.494 606.808 620.566
"148097" 1 1 642.786 622.006 640.824
"148098" 1 0 621.68 571.56 562.656
"148099" NA 1 706.036 679.354 656.458
"148100" 1 1 632.428 642.43 628.828
"148101" 1 0 752.772 724.954 632.492
"148102" 1 1 622.692 632.54 642.176
"148103" 1 1 647.306 587.97 525.148
"148104" 1 1 707.904 728.498 628.802
"148105" 1 1 498.294 467.212 467.724
"148106" NA NA 653.38 661.078 594.892
"148107" 1 1 544.096 502.368 527.622
"148108" NA NA 615.68 566.058 636.218
"148109" 1 1 549.86 575.848 573.14
"148110" 1 1 737.738 776.334 725.964
"148111" NA NA 534.202 498.916 426.618
"148112" 1 1 578.916 600.838 546.228
"148113" 0 0 527.27 584.336 533.322
"148114" 0 1 597.296 634.688 637.886
"148115" 0 0 504.134 575.664 591.172
"148116" 0 0 565.36 588.528 558.522
"148117" 1 1 696.222 697.352 609.882
"148118" 1 1 536.774 564.006 585.692
"148119" 1 1 550.718 567.642 576.556
"148120" 1 1 617.784 625.736 550.56
"148121" 1 0 583.432 586.664 588.394
"148122" 1 1 605.476 626.388 578.296
"148123" 1 1 634.842 605.782 586.554
"148124" 0 1 615.446 677.49 651.468
"148125" 1 0 672.074 672.828 636.098
"148126" 0 0 562.634 610.91 599.3
"148127" NA NA 603.528 633.382 602.612
"148128" 1 0 587.018 641.496 611.99
"148129" 1 1 698.714 736.608 723.442
"148130" 1 1 627.364 653.432 574.128
"148131" 1 1 655.328 649.422 644.556
"148132" NA NA 567.384 595.988 579.02
"148133" 1 1 551.266 581.444 573.538
"148134" 1 1 512.39 532.862 568.534
"148135" 0 1 638.034 650.634 630.496
"148136" 1 1 570.658 563.912 567.264
"148137" NA 0 563.414 588.53 570.044
"148138" 1 0 543.24 505.538 465.82
"148139" 1 1 716.632 709.288 638.902
"148140" 1 1 646.136 622.1 574.928
"148141" 1 1 663.662 676.652 575.49
"148142" 1 0 716.864 719.824 669.446
"148143" 1 1 557.574 571.558 574.252
"148144" 0 0 631.96 580.136 552.642
"148145" 1 1 653.38 672.92 629.304
"148146" 1 1 592.622 596.362 553.444
"148147" 0 0 677.06 665.182 610.606
